date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:43	4952656/4952656	U-----	200	untouched ('')	image/jpeg	date:Wed,%2027%20Jun%202018%2013:44:30%20GMT	https://frame.archive.josias.me/fileadmin/News/frame-breaking_news-dschungel.jpg	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/fileadmin/News/frame-breaking_news-dschungel.jpg	(from https://frame.archive.josias.me/de/post/breking-news/)
19:56:43	7544665/7544665	U-----	200	untouched ('')	image/jpeg	date:Wed,%2027%20Jun%202018%2013:34:30%20GMT	https://frame.archive.josias.me/fileadmin/News/frame-breaking_news-trump.jpg	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/fileadmin/News/frame-breaking_news-trump.jpg	(from https://frame.archive.josias.me/de/post/breking-news/)
19:56:43	954269/954269	U-----	200	untouched ('')	image/jpeg	date:Wed,%2027%20Jun%202018%2013:58:35%20GMT	https://frame.archive.josias.me/fileadmin/News/frame-breaking_news-cube.jpg	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/fileadmin/News/frame-breaking_news-cube.jpg	(from https://frame.archive.josias.me/de/post/breking-news/)
19:56:44	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:43%20GMT	https://frame.archive.josias.me/de/post/steve-mccurry/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/post/steve-mccurry/frame-magazine.5a.delayed	(from https://frame.archive.josias.me/de/post/steve-mccurry/)
19:56:44	3492800/3492800	U-----	200	untouched ('')	image/jpeg	date:Wed,%2006%20Jun%202018%2013:11:36%20GMT	https://frame.archive.josias.me/fileadmin/News/frame-steve_mccurry-02.JPG	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/fileadmin/News/frame-steve_mccurry-02.jpg	(from https://frame.archive.josias.me/de/post/steve-mccurry/)
19:56:44	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:44%20GMT	https://frame.archive.josias.me/de/post/dark-web/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/post/dark-web/frame-magazine.5c.delayed	(from https://frame.archive.josias.me/de/post/dark-web/)
19:56:45	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:45%20GMT	https://frame.archive.josias.me/de/post/skeleton/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/post/skeleton/frame-magazine.ch	(from https://frame.archive.josias.me/de/post/skeleton/)
19:56:46	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:46%20GMT	https://frame.archive.josias.me/de/post/sass/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/post/sass/frame-magazine.ch	(from https://frame.archive.josias.me/de/post/sass/)
19:56:47	1804/1804	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Dec%202021%2018:56:47%20GMT	https://frame.archive.josias.me/de/post/frame-logoentstehung/frame-magazine.ch	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/de/post/frame-logoentstehung/frame-magazine.ch	(from https://frame.archive.josias.me/de/post/frame-logoentstehung/)
19:56:48	23500/23500	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Jun%202018%2013:16:29%20GMT	https://frame.archive.josias.me/fileadmin/News/blau_logo_frame.png	/Users/csjosias/Downloads/FRAME/frame.archive.josias.me/fileadmin/News/blau_logo_frame.png	(from https://frame.archive.josias.me/de/post/frame-logoentstehung/)
